Date,Year,Month,Day,Data Quality,Max,Max Temp Flag,Min,Min Temp Flag,Mean,Mean Temp Flag,Heat Deg Days (¡C),Heat Deg Days Flag,Cool Deg Days (¡C),Cool Deg Days Flag,Total Rain (mm),Total Rain Flag,Total Snow (cm),Total Snow Flag,Total Precip (mm),Total Precip Flag,Snow on Grnd (cm),Snow on Grnd Flag,Dir of Max Gust (10s deg),Dir of Max Gust Flag,Spd of Max Gust (km/h),Spd of Max Gust Flag
14-01-01,2014,1,1, ,7.5,,5.1,,6.3,,11.7,,0,,,M,,M,0.3,,,,,M,,M
14-01-02,2014,1,2, ,7.3,,5.9,,6.6,,11.4,,0,,,M,,M,24,,,,,M,,M
14-01-03,2014,1,3, ,9.2,,1.4,,5.3,,12.7,,0,,,M,,M,0,,,,,M,,M
14-01-04,2014,1,4, ,6,,0,,3,,15,,0,,,M,,M,0,,,,,M,,M
14-01-05,2014,1,5, ,7.1,,-0.9,,3.1,,14.9,,0,,,M,,M,0,,,,,M,,M
14-01-06,2014,1,6, ,5.3,,-0.5,,2.4,,15.6,,0,,,M,,M,0,,,,,M,,M
14-01-07,2014,1,7, ,7.1,,3.5,,5.3,,12.7,,0,,,M,,M,7.7,,,,,M,,M
14-01-08,2014,1,8, ,7.7,,6.5,,7.1,,10.9,,0,,,M,,M,NA,M,,,,M,,M
14-01-09,2014,1,9, ,7.6,,3.9,,5.8,,12.2,,0,,,M,,M,13.4,,,,,M,,M
14-01-10,2014,1,10, ,7.4,,4.7,,6.1,,11.9,,0,,,M,,M,16.6,,,,,M,,M
14-01-11,2014,1,11, ,9.8,,6,,7.9,,10.1,,0,,,M,,M,41.7,,,,,M,,M
14-01-12,2014,1,12, ,8,,3.4,,5.7,,12.3,,0,,,M,,M,8.8,,,,,M,,M
14-01-13,2014,1,13, ,9.4,,4.6,,7,,11,,0,,,M,,M,0,,,,,M,,M
14-01-14,2014,1,14, ,9,,7.4,,8.2,,9.8,,0,,,M,,M,0,,,,,M,,M
14-01-15,2014,1,15, ,9.5,,5.7,,7.6,,10.4,,0,,,M,,M,0,,,,,M,,M
14-01-16,2014,1,16, ,7,,3,,5,,13,,0,,,M,,M,0,,,,,M,,M
14-01-17,2014,1,17, ,5.5,,3.5,,4.5,,13.5,,0,,,M,,M,0,,,,,M,,M
14-01-18,2014,1,18, ,5.7,,1.9,,3.8,,14.2,,0,,,M,,M,0,,,,,M,,M
14-01-19,2014,1,19, ,7.7,,3.3,,5.5,,12.5,,0,,,M,,M,0,,,,,M,,M
14-01-20,2014,1,20, ,6,,2.7,,4.4,,13.6,,0,,,M,,M,0,,,,,M,,M
14-01-21,2014,1,21, ,7.5,,1.4,,4.5,,13.5,,0,,,M,,M,0,,,,,M,,M
14-01-22,2014,1,22, ,8,,3.3,,5.7,,12.3,,0,,,M,,M,0,,,,,M,,M
